distributor,location,department,activities
409,Altos,Cordillera,"agriculture, livestock, hunting and related, light wood production,  sausages production"
523,Coronel Martínez,Guairá,"agriculture, livestock, hunting and related"
519,Guayaybi,San Pedro,"agriculture, livestock, hunting and related"
286,Itapé,Guairá,"agriculture, livestock, hunting and related, tourism"
112,San Cosme y Damián,Itapúa,"agriculture, livestock, hunting and related, tourism"
169,San Miguel,Misiones,craft production
402,San Pedro del Paraná,Itapúa,"agriculture, livestock, hunting and related"
102,Tobatí,Cordillera,"bricks, tiles and ceramics manufacture, craft production, other non-metallic mineral products manufacture"
387,Villa Hayes,Presidente Hayes,"commerce, steel,agriculture, livestock, hunting and related, food and beverage products manufacture,other non-metallic mineral products manufacture, manufactured metal products (except machinery and equipment)"
42,Yaguarón,Paraguarí,"agriculture, livestock, hunting and related, textile production, sports goods production"
